Step,RMSE,NSE,Count
1,0.14634587667760737,0.6363340184270692,6460908.0
2,0.15204662494237595,0.628584745278966,8007379.0
3,0.16286359958259233,0.5515722654825596,8590705.0
4,0.18552714446969162,0.40632980771084315,8311001.0
5,0.19040290876170962,0.35676235147807644,8276059.0
6,0.19077238990682172,0.39963014721868906,7612815.0
7,0.20494600803151633,0.29969449325781605,6900232.0
8,0.21353634942087235,0.2221158510069159,7941284.0
9,0.2153063204026583,0.20287188603495887,7645244.0
10,0.22914753241159816,0.11702277140666761,7045644.0
