Step,RMSE,NSE,Count
1,0.0075419190245594805,0.8847324353726156,55383.0
2,0.015013871882032181,0.4123262229619665,74277.0
3,0.007617484649196173,0.9365565555118105,32696.0
4,0.004107504159502835,-0.014594923707494711,32152.0
5,0.007445419986305515,0.8863005376009216,81582.0
6,0.006533328260143387,0.8984658833632007,81703.0
7,0.008112487045121944,0.8313341931057241,78778.0
8,0.00914953192220944,0.7811098306235764,76357.0
9,0.011574953915782253,0.7510899064523909,47268.0
10,0.014992171019307122,0.5050787288362164,80279.0
11,0.0327009702913612,0.06006968578660965,50031.0
12,0.0300229484415495,0.22853771093259168,38222.0
13,0.023654977789263395,0.24268902215903865,81499.0
14,0.02873303043205156,0.12418810544859382,65530.0
15,0.029556088872974583,0.1184586202159672,72828.0
16,0.009521782936317925,0.81159997608238,48203.0
17,0.011861572431389373,0.728784210601753,34744.0
18,0.03463027762769056,-0.03693131877450884,65385.0
19,0.03999176328029521,-0.11005661841086334,49882.0
20,0.03793905448710211,-0.0943198788086892,48970.0
