,Delta_kNDVI
Temp Mean_MaxAnom,0.18520347618848687
Temp Max_MaxAnom,0.1680541052413271
Temp Min_MinAnom,0.16490287040722174
Temp Min_MaxAnom,0.10797601163627996
Temp Max_MinAnom,0.10555966648527054
Precipitation_MaxAnom,0.10104283698920541
Temp Mean_MinAnom,0.09535514189867161
Pressure_MeanClim,0.05543829731162046
Precipitation_MeanClim,0.03428392005457952
Humidity_MeanClim,0.024129842986652435
Precipitation_MinAnom,-0.013792107874782881
Radiation_MinAnom,-0.01743508691641299
Temp Max_MeanClim,-0.037004174131034545
Temp Mean_MeanClim,-0.0429053584783711
Pressure_MinAnom,-0.04535218763302396
Temp Min_MeanClim,-0.04905412955422455
Radiation_MeanClim,-0.0673652346445131
Humidity_MaxAnom,-0.11496255660366243
Pressure_MaxAnom,-0.1283570788991852
Humidity_MinAnom,-0.13362109796232716
Radiation_MaxAnom,-0.1741032657284122
